species_id,common_name,scientific_name,category,conservation_status
66,Banded Piperfish,Dunckerocampus dactyliophorus,Fish,Least Concern
67,Snowflake Eel,Echidna nebulosa,Fish,Least Concern
68,Sling-jaw Wrasse,Epibulus insidiator,Fish,Least Concern
69,Bluespotted Cornetfish,Fistularia commersonnii,Fish,Least Concern
70,Flowery Flounder,Bothus mancus,Fish,Least Concern
71,Leopard Flounder,Bothus pantherinus,Fish,Least Concern
72,Blue and Gold Fusilier,Caesio caerulaurea,Fish,Least Concern
73,Comet,Calloplesiops altivelis,Fish,Least Concern
74,Honeycomb Filefish,Cantherhines pardalis,Fish,Least Concern
75,Valentini's Sharpnose Puffer,Canthigaster valentini,Fish,Least Concern
76,Giant Trevally,Caranx ignobilis,Fish,Least Concern
77,Blacktail Angelfish,Centropyge eibli,Fish,Least Concern
78,Peacock Grouper,Cephalopholis argus,Fish,Least Concern
79,Miniatus Grouper,Cephalopholis miniata,Fish,Least Concern
80,Bicolour Parrotfish,Cetoscarus bicolor,Fish,Least Concern
81,Threadfin Butterflyfish,Chaetodon auriga,Fish,Least Concern
82,Red Sea Raccoon Butterflyfish,Chaetodon fasciatus,Fish,Least Concern
83,Black-backed Butterflyfish,Chaetodon melannotus,Fish,Least Concern
84,Bluecheek Butterflyfish,Chaetodon semilarvatus,Fish,Near Threatened
85,Triangulate Butterflyfish,Chaetodon trifascialis,Fish,Least Concern
86,Broomtail Wrasse,Cheilinus lunulatus,Fish,Least Concern
87,Whitebarred Wrasse,Cheilinus quinquecinctus,Fish,Least Concern
88,Cheilio Wrasse,Cheilio inermis,Fish,Least Concern
89,Heavybeak Parrotfish,Chlorurus gibbus,Fish,Least Concern
90,Indian Ocean Steephead Parrotfish,Chlorurus strongylocephalus,Fish,Least Concern
